"Aventure Fantastique","2 Square des Cardeurs, Paris","amusement_park","48.8583","2.40718","75020","Aven_75020_2495","am-75020","kfex3075","kfex3075_2496"
"Avis Location Voiture Paris Tolbiac","83 Rue de Tolbiac, Paris","playground","48.827","2.36756","75013","Avis_75013_1491","pl-75013","kfex3075","kfex3075_1492"
"Avre Hotel","21 Rue de l'Avre, Paris","playground","48.8478","2.29772","75015","Avre_75015_1755","pl-75015","kfex3075","kfex3075_1756"
"Awabi","33 Rue de l'Ouest, Paris","restaurant","48.8365","2.32043","75014","Awab_75014_1558","re-75014","kfex3075","kfex3075_1559"
"Ayama","259B Avenue Daumesnil, Paris","restaurant","48.8366","2.40448","75012","Ayam_75012_1279","re-75012","kfex3075","kfex3075_1280"
"Ayama","7 Rue du Cher, Paris","restaurant","48.8645","2.4","75020","Ayam_75020_2429","re-75020","kfex3075","kfex3075_2430"
"Ayutthaya","5 Rue Houdon, Paris","restaurant","48.8829","2.33818","75018","Ayut_75018_2137","re-75018","kfex3075","kfex3075_2138"
"Azabu","3 Rue André Mazet, Paris","restaurant","48.8541","2.33911","75006","Azab_75006_657","re-75006","kfex3075","kfex3075_658"
"Azzedine Alaïa Foundation","18 Rue de la Verrerie, Paris","museum","48.8573","2.35482","75001","Azze_75001_137","mu-75001","kfex3075","kfex3075_138"
"Baby parc bd richard","32 Boulevard Richard-Lenoir, Paris","park","48.857","2.37094","75011","Baby_75011_1080","pa-75011","kfex3075","kfex3075_1081"
"Babyfoot","Bassin de la Villette face au, 34 Quai de la Loire, Paris","park","48.8852","2.3738","75019","Baby_75019_2205","pa-75019","kfex3075","kfex3075_2206"
"Backtothestreet","16 Rue Sainte-Croix de la Bretonnerie, Paris","museum","48.8582","2.35672","75003","Back_75003_367","mu-75003","kfex3075","kfex3075_368"
"Backstage café HIPI","31 bis Rue de la Gaité, Paris","restaurant","48.8393","2.32342","75014","Back_75014_1552","re-75014","kfex3075","kfex3075_1553"
"Bain Viking","24 Rue Mayet, Paris","park","48.846","2.31942","75006","Bain_75006_621","pa-75006","kfex3075","kfex3075_622"
